Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,branch-odpf,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1746976152870,11/05/2025 15:09,1746990552870,4,11/05/2025 23:09,226252,1,questionnaire-22js,,46065298,BLINDED,13395769,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,402x874,402x671,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1747500557347,17/05/2025 16:49,1747518557347,5,18/05/2025 02:49,226252,1,questionnaire-22js,,46277860,BLINDED,13448123,,complete,,,mobile,Apple iPhone,iOS 17.6.1,Mobile Safari 17.6.1,390x844,390x648,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1747607443350,18/05/2025 22:30,1747618243350,3,19/05/2025 04:30,226252,1,questionnaire-22js,,46292230,BLINDED,13451553,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 25.4.0.0,1280x720,1280x580,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1747679538049,19/05/2025 18:32,1747690338049,3,20/05/2025 00:32,226252,1,questionnaire-22js,,46315527,BLINDED,13458005,,complete,,,mobile,Apple iPhone,iOS 16.4.1,Mobile Safari 16.4.1,390x844,390x648,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1747680457380,19/05/2025 18:47,1747691257380,3,20/05/2025 00:47,226252,1,questionnaire-22js,,46316113,BLINDED,13458160,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 25.4.0.0,1536x864,1522x704,,,0,Debrief Efremova,2,consent,M,,,,,info,,BEGIN,,,,,
1,1747724870637,20/05/2025 07:07,1747735670637,3,20/05/2025 13:07,226252,1,questionnaire-22js,,46325781,BLINDED,13460426,,complete,,,mobile,undefined undefined,Android 15,Firefox 138.0,360x780,360x681,,,0,Debrief Efremova,2,consent,M,,,,,info,,BEGIN,,,,,
1,1747728173529,20/05/2025 08:02,1747738973529,3,20/05/2025 14:02,226252,1,questionnaire-22js,,46326790,BLINDED,13460711,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,430x932,430x729,,,0,Debrief Efremova,2,consent,M,,,,,info,,BEGIN,,,,,
1,1747731412985,20/05/2025 08:56,1747742212985,3,20/05/2025 14:56,226252,1,questionnaire-22js,,46327788,BLINDED,13460877,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,428x926,428x730,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1747742072178,20/05/2025 11:54,1747752872178,3,20/05/2025 17:54,226252,1,questionnaire-22js,,46332774,BLINDED,13462235,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 25.2.0.0,2048x1152,2000x1036,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1747744971760,20/05/2025 12:42,1747755771760,3,20/05/2025 18:42,226252,1,questionnaire-22js,,46334049,BLINDED,13462688,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3,1440x900,1440x732,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1747759654039,20/05/2025 16:47,1747770454039,3,20/05/2025 22:47,226252,1,questionnaire-22js,,46341147,BLINDED,13465270,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1311x874,1311x747,,,0,Debrief Efremova,2,consent,M,,,,,info,,BEGIN,,,,,
1,1747765034462,20/05/2025 18:17,1747775834462,3,21/05/2025 00:17,226252,1,questionnaire-22js,,46343290,BLINDED,13465804,,live,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4,390x844,390x663,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1747767065345,20/05/2025 18:51,1747777865345,3,21/05/2025 00:51,226252,1,questionnaire-22js,,46343966,BLINDED,13466038,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4,393x852,393x659,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1747772065760,20/05/2025 20:14,1747782865760,3,21/05/2025 02:14,226252,1,questionnaire-22js,,46351728,BLINDED,13466128,,live,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,414x896,414x699,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1747774115044,20/05/2025 20:48,1747784915044,3,21/05/2025 02:48,226252,1,questionnaire-22js,,46353265,BLINDED,13467525,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5.1,393x852,393x649,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1747813231621,21/05/2025 07:40,1747824031621,3,21/05/2025 13:40,226252,1,questionnaire-22js,,46361081,BLINDED,13469335,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,440x956,440x757,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1747842906196,21/05/2025 15:55,1747853706196,3,21/05/2025 21:55,226252,1,questionnaire-22js,,46376482,BLINDED,13473354,,live,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,393x852,393x649,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1747855808478,21/05/2025 19:30,1747866608478,3,22/05/2025 01:30,226252,1,questionnaire-22js,,46380530,BLINDED,13473757,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,402x874,402x671,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1747846618326,21/05/2025 16:56,1747857418326,3,21/05/2025 22:56,226252,1,questionnaire-22js,,46378074,BLINDED,13473856,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,430x932,430x729,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1747850902949,21/05/2025 18:08,1747861702949,3,22/05/2025 00:08,226252,1,questionnaire-22js,,46379219,BLINDED,13474358,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,1470x956,1470x840,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1747855142356,21/05/2025 19:19,1747865942356,3,22/05/2025 01:19,226252,1,questionnaire-22js,,46380368,BLINDED,13474635,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,390x844,390x648,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1747856781388,21/05/2025 19:46,1747867581388,3,22/05/2025 01:46,226252,1,questionnaire-22js,,46380763,BLINDED,13474683,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,428x926,428x730,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1747858665874,21/05/2025 20:17,1747869465874,3,22/05/2025 02:17,226252,1,questionnaire-22js,,46381234,BLINDED,13474737,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5.1,428x926,428x730,,,0,Debrief Efremova,2,consent,M,,,,,info,,BEGIN,,,,,
1,1747863543451,21/05/2025 21:39,1747874343451,3,22/05/2025 03:39,226252,1,questionnaire-22js,,46382331,BLINDED,13474789,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,390x844,390x648,,,0,Debrief Efremova,2,consent,M,,,,,info,,BEGIN,,,,,
1,1747858178439,21/05/2025 20:09,1747868978439,3,22/05/2025 02:09,226252,1,questionnaire-22js,,46381127,BLINDED,13474823,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,440x956,440x758,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1747868053439,21/05/2025 22:54,1747878853439,3,22/05/2025 04:54,226252,1,questionnaire-22js,,46383574,BLINDED,13475377,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3.1,1470x956,1027x777,,,0,Debrief Efremova,2,consent,M,,,,,info,,BEGIN,,,,,
1,1747875744334,22/05/2025 01:02,1747886544334,3,22/05/2025 07:02,226252,1,questionnaire-22js,,46384455,BLINDED,13475661,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,430x932,430x739,,,0,Debrief Efremova,2,consent,M,,,,,info,,BEGIN,,,,,
