Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,branch-odpf,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1745753885921,27/04/2025 11:38,1745764685921,3,27/04/2025 17:38,209889,4,questionnaire-22js,,45679976,BLINDED,13288566,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1920x1080,1912x962,,,0,Debrief Efremova,2,consent,M,,,,,info,,BEGIN,,,,,
1,1745753392124,27/04/2025 11:29,1745764192124,3,27/04/2025 17:29,209889,4,questionnaire-22js,,45679727,BLINDED,13288568,,live,,,computer,Desktop or Laptop,Windows 10,Yandex 25.2.0.0,1536x864,1536x724,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745753373408,27/04/2025 11:29,1745764173408,3,27/04/2025 17:29,209889,4,questionnaire-22js,,45679704,BLINDED,13288569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1920x1080,1901x955,,,0,Debrief Efremova,2,consent,M,,,,,info,,BEGIN,,,,,
1,1745753972790,27/04/2025 11:39,1745764772790,3,27/04/2025 17:39,209889,4,questionnaire-22js,,45679934,BLINDED,13288573,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1536x864,1522x738,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745753514901,27/04/2025 11:31,1745764314901,3,27/04/2025 17:31,209889,4,questionnaire-22js,,45679793,BLINDED,13288575,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 25.2.0.0,1920x1080,1872x964,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745753985976,27/04/2025 11:39,1745764785976,3,27/04/2025 17:39,209889,4,questionnaire-22js,,45680016,BLINDED,13288576,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 25.2.0.0,1366x768,1318x652,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745754031682,27/04/2025 11:40,1745782831682,8,28/04/2025 03:40,209889,4,questionnaire-22js,,45680043,BLINDED,13288579,,complete,,,mobile,Xiaomi MI 8 Lite,Android 10,Yandex 25.20.1,393x830,393x644,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745753565592,27/04/2025 11:32,1745771565592,5,27/04/2025 21:32,209889,4,questionnaire-22js,,45679827,BLINDED,13288580,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1920x1080,1912x962,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745753352755,27/04/2025 11:29,1745764152755,3,27/04/2025 17:29,209889,4,questionnaire-22js,,45679688,BLINDED,13288581,,complete,,,mobile,undefined K,Android 10,Chrome 135.0.0.0,360x780,360x661,,,0,Debrief Efremova,2,consent,M,,,,,info,,BEGIN,,,,,
1,1745753876287,27/04/2025 11:37,1745764676287,3,27/04/2025 17:37,209889,4,questionnaire-22js,,45679972,BLINDED,13288583,,complete,,,mobile,undefined K,Android 10,Chrome 135.0.0.0,360x806,360x670,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
