dbf_country,iso3c,W_2000,W_2025,E_2000,E_2025,V_2000,V_2025,SafeWater_2000,Undernourish_2000,FoodInsec_ModSev_2014,FoodInsec_ModSev_2022,SafeWater_2022,Undernourish_2022,WaterStress_2000,WaterStress_2022,RuleOfLaw_1789,RuleOfLaw_2024
South Africa,ZAF,9.34,9.5,3.13,3.13,27.87,28.81,NA,3.6,NA,20.7,NA,10,40.77,67.6,NA,0.707
Spain,ESP,9.94,10.17,7.83,7.77,12.62,13.32,99,2.5,7.1,6.5,99,2.5,49.22,43.25,0.315,0.954
Switzerland,CHE,1.25,1.23,0.16,0.16,9.76,9.47,97,2.5,4.8,2,97,2.5,9.66,6.5,NA,0.995
Taiwan,TWN,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,3.8,NA,NA,NA,0.928
Thailand,THA,22.03,20.03,13.79,14.32,35.18,28.03,NA,17.3,NA,5.4,NA,4.6,NA,23.01,0.122,0.389
Turkey,TUR,20.84,14.62,9.03,8.9,48.11,24.01,NA,12.9,NA,NA,NA,2.5,31.2,44.1,0.226,0.18
Ukraine,UKR,2.58,4.34,0.48,0.48,13.83,39.24,66,2.7,19.8,32.5,88,6.9,23.68,6.3,NA,0.411
United Arab Emirates,ARE,4.38,5.97,3.68,3.77,5.22,9.44,NA,2.5,NA,3.6,NA,2.5,1555.87,1509.93,NA,0.643
United Kingdom,GBR,7.52,6.14,2.59,2.58,21.84,14.62,99,2.5,6.3,6.9,99,2.5,21.29,14.35,0.671,0.957
United States,USA,24.08,23.09,40.11,39.59,14.46,13.47,NA,2.5,10.5,10.3,98,2.5,30.01,28.16,0.886,0.965
Uzbekistan,UZB,1.81,1.42,0.18,0.18,18.21,11.19,54,19,11.2,24.4,80,2.5,153.08,121.84,0.114,0.157
Vietnam,VNM,26.83,25.92,27.04,26.73,26.63,25.14,46,19.5,NA,10.7,58,5.3,15.9,18.13,NA,0.353
